Product.Category,Product.Subcategory,Gender,LifeStage,Trend.Theme,Inspiration.Background,Length,Sleeve,Collar.Design,Neck.Design,Fit,Sample.Manufacturer,Production.Manufacturer,Colors
SET,SHORT SET,Man-Boy,Infant,BASIC LINE,CHILDRENSALON,SHORT LENGTH,SHORT SLEEVE,POLO COLLAR,ROUND NECK,REGULAR FIT,APPLE APPARELSS,APPLE APPARELSS,"ΓΚΡΙ_175,175,175"
BERMUDAS-SHORTS,SHORTS,Woman-Girl,0 to 5,BEACH & SPORT,PINTEREST,LONG,LONG SLEEVE,SHIRT COLLAR,COLLAR,CARGO,NULL,NULL,ΕΜΠΡΙΜΕ_
BLOUSES,BLOUSE POLO SHORT SLEEVE, ,1 to 5,BEACH AND SPORT,STYLE RIGHT,MEDIUM LENGTH,TURN UP SLEEVE,FLAT KNITTED RIB,TURTLENECK,RELAXED FIT,JESSE GARMENTS LTD,JESSE GARMENTS LTD,"ΛΕΥΚΟ_255,255,255"
TROUSERS,JEANS, ,1 to 16,COOL GUYS,SHUTTERSTOCK,KNEE LENGTH,SLEEVELESS,MAO COLLAR,HOODED,SLIM FIT,BEBESAN TEKS.SAV.VE DIS TIC.LTD.STI.,BEBESAN TEKS.SAV.VE DIS TIC.LTD.STI.,"ΜΠΛΕ ΤΖΗΝ_6,61,121"
ROMPER,INFANT ROMPER , ,6 to 16,FREE LIFE,PITTI IMAGINE,CAPRI,RAGLAN SLEEVE,STAND UP COLLAR,V NECK,CHINOS,XIAMEN MICROUNION IND.,MINIDUNYA TEKSTIL HAKNUR BEBE,"ΜΑΡΕΝ_021,021,053"
SHIRTS,SHIRT, , ,ALL SUMMER LONG,NEXT LOOK,3/4 LENGTH,CUP SLEEVE, ,OFF SHOULDER,BIKER,V2 KNITS,CASUAL CLOTHING,"ΛΕΥΚΟ_239,239,239,ΣΙΕΛ_0,155,230"
OUTDOOR CLOTHING OR COAT,JACKET, , ,SAIL AWAY,RETAIL SHOPS, ,3/4 FLARED , ,HALTERNECK, ,GDM WEAR LIMITED,LANDMARK KNITWEAR,"ΚΟΚΚΙΝΟ_242,011,046,ΛΕΥΚΟ_255,255,255,ΜΑΡΕΝ_021,021,053"
CARDIGAN,DUNGAREES, , ,IN ACTION, , ,FLARED, , , ,LANDMARK KNITWEAR,V2 KNITS,"ΙΝΤΙΓΚΟ_037,045,095,ΛΕΥΚΟ_255,255,255"
TRACKSUIT,T-SHIRT, , ,COΟL GUYS, , , , , , ,JIN SI XUAN IMP AND EXP COMPANY LTD,GDM WEAR LIMITED,ΡΙΓΕ _
DRESS,INFANTS, , ,SAILOR SPIRIT, ,,,,,,M/S VECTOR INDIA,JIN SI XUAN IMP AND EXP COMPANY LTD,"ΚΟΡΑΛΛΙ_235,040,048"
