"Oid","CreatedBy","UpdatedBy","CreatedOn","UpdatedOn","Description","AlternativeDescription","Active","Ordering","OptimisticLockField"
1,,,2021-01-01 00:00:00,2021-01-01 00:00:00,SHORT LENGTH,,1,0,
2,,,2021-01-01 00:00:00,2021-01-01 00:00:00,LONG,,1,0,
3,,,2021-01-01 00:00:00,2021-01-01 00:00:00,MEDIUM LENGTH,,1,0,
4,,,2021-01-01 00:00:00,2021-01-01 00:00:00,KNEE LENGTH,,1,0,
5,,,2021-01-01 00:00:00,2021-01-01 00:00:00,CAPRI,,1,0,
6,,,2021-01-01 00:00:00,2021-01-01 00:00:00,"3/4 LENGTH",,1,0,
7,,,2021-01-01 00:00:00,2021-01-01 00:00:00,"SHORT LENGTH",,1,0,
8,,,2021-01-01 00:00:00,2021-01-01 00:00:00,"KNEE LENGTH",,1,0,
9,,,2021-01-01 00:00:00,2021-01-01 00:00:00,"MEDIUM LENGTH",,1,0,
10,,,2021-01-01 00:00:00,2021-01-01 00:00:00,"MAXI",,1,0,
